SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE
MLS Listing,Townhouse,6813 NW 163rd Ave,Portland,OR,97229,535000,4,2.5,Arbor Lakes,1922,2613,2014,2,278,212,Active,http://www.redfin.com/OR/Portland/6813-NW-163rd-Ave-97229/home/54836141,RMLS,21056418,45.5686886,-122.8455172
MLS Listing,Single Family Residential,8865 SE Bristol Park Dr,Happy Valley,OR,97086,725000,4,3,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",2548,5227,1998,8,285,31,Active,http://www.redfin.com/OR/Happy-Valley/8865-SE-Bristol-Park-Dr-97086/home/26038133,RMLS,21172927,45.4581882,-122.5591897
PAST SALE,Single Family Residential,2525 NW Arnott Ln,Portland,OR,97229,629900,4,2.5,IRON RIDGE PARK,2324,4791,2011,318,271,30,Sold,http://www.redfin.com/OR/Portland/2525-NW-Arnott-Ln-97229/home/26651664,RMLS,20264930,45.537885,-122.7953286
PAST SALE,Single Family Residential,4561 NW Continental Pl,Beaverton,OR,97006,450000,3,2.5,NW Washington Co or Sauvie Island,1518,2613,2000,183,296,75,Sold,http://www.redfin.com/OR/Beaverton/4561-NW-Continental-Pl-97006/home/25781649,RMLS,21067322,45.5528485,-122.8507945
PAST SALE,Single Family Residential,1123 NW 93rd Ave,Portland,OR,97229,490000,4,2.5,NW Washington Co or Sauvie Island,1853,3049,2011,1534,264,48,Sold,http://www.redfin.com/OR/Portland/1123-NW-93rd-Ave-97229/home/26737738,RMLS,17684940,45.5273554,-122.7730882
PAST SALE,Single Family Residential,12781 NW Forest Spring Ln,Portland,OR,97229,590000,4,2.5,BAUER HIGHLANDS,2416,4356,2001,1123,244,20,Sold,http://www.redfin.com/OR/Portland/12781-NW-Forest-Spring-Ln-97229/home/26693506,RMLS,18208993,45.5509172,-122.8087863
PAST SALE,Single Family Residential,7493 NW Tanoak Ter,Portland,OR,97229,450000,3,2.5,NW Washington Co or Sauvie Island,1724,3049,2015,369,261,50,Sold,http://www.redfin.com/OR/Portland/7493-NW-Tanoak-Ter-97229/home/112775579,RMLS,20416648,45.5739076,-122.8493539
PAST SALE,Single Family Residential,13391 NW Greenwood Dr,Portland,OR,97229,880000,5,3,NW Washington Co or Sauvie Island,3754,6098,2016,1053,234,125,Sold,http://www.redfin.com/OR/Portland/13391-NW-Greenwood-Dr-97229/home/65681382,RMLS,18654328,45.5608191,-122.8147239
PAST SALE,Single Family Residential,14326 Azalea Pl,Tigard,OR,97224,510000,4,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2424,5227,2015,1297,210,38,Sold,http://www.redfin.com/OR/Tigard/14326-SW-Azalea-Pl-97224/home/56335632,RMLS,18321897,45.4162834,-122.8274784
PAST SALE,Single Family Residential,16942 NW Lynch Ln,Portland,OR,97229,550000,4,2.5,NW Washington Co or Sauvie Island,2490,3920,2013,1233,221,102,Sold,http://www.redfin.com/OR/Portland/16942-NW-Lynch-Ln-97229/home/52879619,RMLS,18452804,45.5698156,-122.8516933
PAST SALE,Single Family Residential,10669 NW Harding Ct,Portland,OR,97229,525000,4,2.5,NW Washington Co or Sauvie Island,2598,6098,1994,1415,202,12,Sold,http://www.redfin.com/OR/Portland/10669-NW-Harding-Ct-97229/home/26624292,RMLS,17557949,45.5401877,-122.7864541
PAST SALE,Single Family Residential,4422 SE Anderegg Dr,Portland,OR,97236,390000,3,2.5,Portland Southeast,2170,8712,1998,1447,180,15,Sold,http://www.redfin.com/OR/Portland/4422-SE-Anderegg-Dr-97236/home/26513661,RMLS,17112919,45.4904873,-122.4928688
