SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2875 NE Hamblet St,Portland,OR,97212,1275000,4,3,Portland Northeast,2701,3920,2019,1,472,,Active,September-4-2021 11:00 AM,September-4-2021 01:00 PM,http://www.redfin.com/OR/Portland/2875-NE-Hamblet-St-97212/home/170024684,RMLS,21690092,N,Y,45.5506056,-122.6363293
MLS Listing,,Single Family Residential,5808 SW Sheridan Ct,Portland,OR,97221,699900,4,2,BRIDLEMILE/SOUTHWEST HILLS,1924,19602,1964,2,364,,Active,September-4-2021 11:00 AM,September-4-2021 01:00 PM,http://www.redfin.com/OR/Portland/5808-SW-Sheridan-Ct-97221/home/26645244,RMLS,21629100,N,Y,45.5042978,-122.7368805
MLS Listing,,Multi-Family (2-4 Unit),11897 SE Pine St,Portland,OR,97216,449900,3,3,Portland Southeast,,,2005,2,,,Active,,,http://www.redfin.com/OR/Portland/11897-SE-Pine-St-97216/unit-WI/home/26582556,RMLS,21330955,N,Y,45.520713,-122.54063
MLS Listing,,Townhouse,6813 NW 163rd Ave,Portland,OR,97229,535000,4,2.5,Arbor Lakes,1922,2613,2014,2,278,212,Active,September-5-2021 10:00 AM,September-5-2021 12:00 PM,http://www.redfin.com/OR/Portland/6813-NW-163rd-Ave-97229/home/54836141,RMLS,21056418,N,Y,45.5686886,-122.8455172
MLS Listing,,Single Family Residential,11124 SW 64th Ave,Portland,OR,97219,515000,3,2.5,"Portland West, Raleigh Hills",1364,5227,1987,3,378,,Active,September-4-2021 11:00 AM,September-4-2021 01:00 PM,http://www.redfin.com/OR/Portland/11124-SW-64th-Ave-97219/home/25795398,RMLS,21401557,N,Y,45.4446681,-122.7423393
MLS Listing,,Condo/Co-op,1420 NW Lovejoy St #620,Portland,OR,97209,570000,2,2,Pearl District,1267,,1910,3,450,675,Active,September-5-2021 01:00 PM,September-5-2021 03:00 PM,http://www.redfin.com/OR/Portland/1420-NW-Lovejoy-St-97209/unit-620/home/26629029,RMLS,21571472,N,Y,45.5299226,-122.6860554
MLS Listing,,Single Family Residential,4220 SE Yamhill St,Portland,OR,97215,499000,2,1,SUNNYSIDE / BELMONT,1872,,1890,8,267,,Active,,,http://www.redfin.com/OR/Portland/4220-SE-Yamhill-St-97215/home/25742473,RMLS,21435545,N,Y,45.5156676,-122.6188741
MLS Listing,,Single Family Residential,8865 SE Bristol Park Dr,Happy Valley,OR,97086,725000,4,3,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",2548,5227,1998,8,285,31,Active,,,http://www.redfin.com/OR/Happy-Valley/8865-SE-Bristol-Park-Dr-97086/home/26038133,RMLS,21172927,N,Y,45.4581882,-122.5591897
MLS Listing,,Condo/Co-op,1125 NW 9th Ave #419,Portland,OR,97209,380000,1,1,PEARL DISTRICT / LEXIS,757,,2004,8,502,385,Active,,,http://www.redfin.com/OR/Portland/1125-NW-9th-Ave-97209/unit-419/home/25756249,RMLS,21206072,N,Y,45.5312084,-122.6806888
MLS Listing,,Single Family Residential,7855 N Wabash Ave,Portland,OR,97217,510000,2,1.5,Portland North,1940,3484,1927,8,263,,Active,,,http://www.redfin.com/OR/Portland/7855-N-Wabash-Ave-97217/home/26369196,RMLS,21673824,N,Y,45.5804709,-122.702946
MLS Listing,,Single Family Residential,7406 N Newell Ave,Portland,OR,97203,530000,3,2,UNIVERSITY PARK,1928,2613,1909,9,275,,Active,,,http://www.redfin.com/OR/Portland/7406-N-Newell-Ave-97203/home/26524569,RMLS,21672574,N,Y,45.5844563,-122.7337336
MLS Listing,,Single Family Residential,17920 SE Pine St,Portland,OR,97233,339900,2,1,Gresham,720,7840,1948,9,472,,Active,,,http://www.redfin.com/OR/Portland/17920-SE-Pine-St-97233/home/25742182,RMLS,21697815,N,Y,45.5202906,-122.4786052
MLS Listing,,Single Family Residential,8424 NE Humboldt St,Portland,OR,97220,359900,2,1,Portland Northeast,848,6098,1948,9,424,,Active,,,http://www.redfin.com/OR/Portland/8424-NE-Humboldt-St-97220/home/26504877,RMLS,21633524,N,Y,45.558434,-122.5759994
MLS Listing,,Single Family Residential,3730 SE 51st Ave,Portland,OR,97206,599000,3,2,Portland Southeast,2189,4791,1924,9,274,,Active,,,http://www.redfin.com/OR/Portland/3730-SE-51st-Ave-97206/home/25863710,RMLS,21386807,N,Y,45.4956214,-122.6101948
MLS Listing,,Single Family Residential,489 NW Skyline Blvd,Portland,OR,97229,798000,5,3,"Portland West, Raleigh Hills",3080,37897,1953,15,259,,Active,,,http://www.redfin.com/OR/Portland/489-NW-Skyline-Blvd-97229/home/26432122,RMLS,21158086,N,Y,45.5252538,-122.7560987
MLS Listing,,Single Family Residential,16212 SW Oneill Ct,Portland,OR,97223,799900,6,3.5,"Beaverton, Aloha",3525,13068,1996,16,227,,Active,,,http://www.redfin.com/OR/Portland/16212-SW-Oneill-Ct-97223/home/26685886,RMLS,21011086,N,Y,45.4261551,-122.8435976
MLS Listing,,Condo/Co-op,35 NE Tillamook St Unit A,Portland,OR,97212,425000,3,3,ELIOT,1625,,1997,16,262,225,Active,,,http://www.redfin.com/OR/Portland/35-NE-Tillamook-St-97212/unit-A/home/25803855,RMLS,21180677,N,Y,45.538251,-122.6658011
