SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE,geometry
MLS Listing,Townhouse,6813 NW 163rd Ave,Portland,OR,97229,535000,4,2.5,Arbor Lakes,1922,2613,2014,2,278,212,Active,http://www.redfin.com/OR/Portland/6813-NW-163rd-Ave-97229/home/54836141,RMLS,21056418,45.5686886,-122.8455172,POINT (-13675100.42094033 5711498.624231413)
PAST SALE,Single Family Residential,2525 NW Arnott Ln,Portland,OR,97229,629900,4,2.5,IRON RIDGE PARK,2324,4791,2011,318,271,30,Sold,http://www.redfin.com/OR/Portland/2525-NW-Arnott-Ln-97229/home/26651664,RMLS,20264930,45.537884999999996,-122.79532859999999,POINT (-13669513.4515447 5706601.712189257)
PAST SALE,Single Family Residential,4561 NW Continental Pl,Beaverton,OR,97006,450000,3,2.5,NW Washington Co or Sauvie Island,1518,2613,2000,183,296,75,Sold,http://www.redfin.com/OR/Beaverton/4561-NW-Continental-Pl-97006/home/25781649,RMLS,21067322,45.552848499999996,-122.8507945,POINT (-13675687.8872891 5708980.155521237)
PAST SALE,Single Family Residential,1123 NW 93rd Ave,Portland,OR,97229,490000,4,2.5,NW Washington Co or Sauvie Island,1853,3049,2011,1534,264,48,Sold,http://www.redfin.com/OR/Portland/1123-NW-93rd-Ave-97229/home/26737738,RMLS,17684940,45.5273554,-122.7730882,POINT (-13667037.66154166 5704928.415160857)
PAST SALE,Single Family Residential,12781 NW Forest Spring Ln,Portland,OR,97229,590000,4,2.5,BAUER HIGHLANDS,2416,4356,2001,1123,244,20,Sold,http://www.redfin.com/OR/Portland/12781-NW-Forest-Spring-Ln-97229/home/26693506,RMLS,18208993,45.5509172,-122.8087863,POINT (-13671011.55585595 5708673.140444201)
PAST SALE,Single Family Residential,7493 NW Tanoak Ter,Portland,OR,97229,450000,3,2.5,NW Washington Co or Sauvie Island,1724,3049,2015,369,261,50,Sold,http://www.redfin.com/OR/Portland/7493-NW-Tanoak-Ter-97229/home/112775579,RMLS,20416648,45.5739076,-122.84935390000001,POINT (-13675527.52043066 5712328.565459119)
PAST SALE,Single Family Residential,13391 NW Greenwood Dr,Portland,OR,97229,880000,5,3.0,NW Washington Co or Sauvie Island,3754,6098,2016,1053,234,125,Sold,http://www.redfin.com/OR/Portland/13391-NW-Greenwood-Dr-97229/home/65681382,RMLS,18654328,45.560819099999996,-122.8147239,POINT (-13671672.52646448 5710247.338234695)
PAST SALE,Single Family Residential,14326 Azalea Pl,Tigard,OR,97224,510000,4,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2424,5227,2015,1297,210,38,Sold,http://www.redfin.com/OR/Tigard/14326-SW-Azalea-Pl-97224/home/56335632,RMLS,18321897,45.4162834,-122.8274784,POINT (-13673092.35090981 5687296.602941052)
PAST SALE,Single Family Residential,16942 NW Lynch Ln,Portland,OR,97229,550000,4,2.5,NW Washington Co or Sauvie Island,2490,3920,2013,1233,221,102,Sold,http://www.redfin.com/OR/Portland/16942-NW-Lynch-Ln-97229/home/52879619,RMLS,18452804,45.5698156,-122.8516933,POINT (-13675787.94124742 5711677.836665041)
PAST SALE,Single Family Residential,9282 SE Hamilton Ln,Happy Valley,OR,97086,530000,4,3.0,LINCOLN HEIGHTS,3159,8712,2013,1719,168,100,Sold,http://www.redfin.com/OR/Portland/9282-SE-Hamilton-Ln-97086/home/25882683,RMLS,16362076,45.4561768,-122.54107900000001,POINT (-13641210.51553831 5693625.370684547)
PAST SALE,Single Family Residential,14772 NW Hydrangea Ct,Portland,OR,97229,537000,4,2.5,NW Washington Co or Sauvie Island,2004,3484,2015,472,268,117,Sold,http://www.redfin.com/OR/Portland/14772-NW-Hydrangea-Ct-97229/home/101101835,RMLS,20102711,45.570356700000005,-122.82955530000001,POINT (-13673323.55036024 5711763.882173302)
PAST SALE,Single Family Residential,4139 NW Lois Elaine Ter,Portland,OR,97229,719900,3,3.0,"Portland West, Raleigh Hills",2930,5662,2005,260,246,29,Sold,http://www.redfin.com/OR/Portland/4139-NW-Lois-Elaine-Ter-97229/home/26736481,RMLS,20264927,45.5497716,-122.8146395,POINT (-13671663.13109946 5708491.031582318)
PAST SALE,Single Family Residential,6658 NW Mcmullen Ave,Portland,OR,97229,660000,4,3.0,NW Washington Co or Sauvie Island,2826,5662,2010,781,234,117,Sold,http://www.redfin.com/OR/Portland/6658-NW-McMullen-Ave-97229/home/26604798,RMLS,19459606,45.5679368,-122.8481978,POINT (-13675398.82396735 5711379.077066991)
PAST SALE,Single Family Residential,13912 NW Hogan St,Portland,OR,97229,680000,4,3.0,NW Washington Co or Sauvie Island,2718,6534,2003,1101,250,27,Sold,http://www.redfin.com/OR/Portland/13912-NW-Hogan-St-97229/home/26653328,RMLS,18115401,45.5487391,-122.8201406,POINT (-13672275.51075027 5708326.904699688)
