SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE,geometry,Groceries,Restaurants,Hospitals,Bars,Fuel stations,Public_transport,Parks,Schools,score,rank
PAST SALE,Townhouse,5827 NE Center Commons Way,Portland,OR,97213,327500,3,2.0,Portland Northeast,1223,871,2001,1083,268,225,Sold,http://www.redfin.com/OR/Portland/5827-NE-Center-Commons-Way-97213/home/26627470,RMLS,18237730,45.527074799999994,-122.60311680000001,POINT (-13648116.53184425 5704883.82827953),76,977,8,294,72,2136,302,154,8.417653099543092,1
PAST SALE,Townhouse,4738 SW View Point Ter,Portland,OR,97239,400000,3,3.5,"Portland West, Raleigh Hills",1856,1742,2002,823,216,32,Sold,http://www.redfin.com/OR/Portland/4738-SW-View-Point-Ter-97239/home/26596384,RMLS,19551645,45.4890194,-122.67793600000002,POINT (-13656445.3670898 5698838.946592221),56,826,11,236,57,1945,301,120,8.360674722692435,2
PAST SALE,Townhouse,715 NE Tillamook St,Portland,OR,97212,439000,3,3.0,Irvington,1498,871,2005,635,293,100,Sold,http://www.redfin.com/OR/Portland/715-NE-Tillamook-St-97212/home/25789156,RMLS,19439512,45.537653000000006,-122.6582281,POINT (-13654251.4936972 5706564.840849998),61,934,10,266,66,2024,271,113,8.324428038086635,3
PAST SALE,Townhouse,723 NE Tillamook St,Portland,OR,97212,545000,3,3.0,Portland Northeast,1155,1306,2005,64,472,100,Sold,http://www.redfin.com/OR/Portland/723-NE-Tillamook-St-97212/home/25752900,RMLS,21248091,45.537653000000006,-122.658115,POINT (-13654238.90346279 5706564.840849998),61,933,10,266,66,2026,271,113,8.233452858374864,4
PAST SALE,Townhouse,4742 SW View Point Ter,Portland,OR,97239,380000,2,2.5,"Portland West, Raleigh Hills",1872,2178,2002,1422,203,29,Sold,http://www.redfin.com/OR/Portland/4742-SW-View-Point-Ter-97239/home/26598183,RMLS,17256601,45.4889661,-122.67793700000001,POINT (-13656445.4784093 5698830.48305841),55,825,11,235,57,1946,302,120,8.021732778932662,5
PAST SALE,Townhouse,4734 SW View Point Ter,Portland,OR,97239,333000,2,2.5,"Portland West, Raleigh Hills",1552,1742,2002,1746,215,29,Sold,http://www.redfin.com/OR/Portland/4734-SW-View-Point-Ter-97239/home/26621093,RMLS,16443113,45.4890636,-122.6779358,POINT (-13656445.34482591 5698845.96513853),56,827,11,236,57,1945,301,120,8.007134600416249,6
PAST SALE,Townhouse,4728 SW View Point Ter,Portland,OR,97239,385000,2,2.5,Terwilliger Pointe,1552,1742,2002,848,248,32,Sold,http://www.redfin.com/OR/Portland/4728-SW-View-Point-Ter-97239/home/25792400,RMLS,19685499,45.48910789999999,-122.67793470000001,POINT (-13656445.22237447 5698852.999569427),56,826,11,236,57,1943,301,120,7.970918613787152,7
MLS Listing,Single Family Residential,3632 SW 64th Pl,Portland,OR,97221,1875000,5,6.5,Laurian Grove,4834,15681,2016,85,388,158,Active,http://www.redfin.com/OR/Portland/3632-SW-64th-Pl-97221/home/25877694,RMLS,21326851,45.49646,-122.742695,POINT (-13663654.30599408 5700020.521815492),47,620,9,126,58,1497,275,98,7.8854178844446565,8
PAST SALE,Townhouse,4918 SW View Point Ter,Portland,OR,97239,405000,2,2.5,"Portland West, Raleigh Hills",1321,1306,2002,1181,307,32,Sold,http://www.redfin.com/OR/Portland/4918-SW-View-Point-Ter-97239/home/26622991,RMLS,18177260,45.48825120000001,-122.6784629,POINT (-13656504.0213295 5698716.964501898),54,808,11,230,57,1933,301,117,7.819727215820746,9
PAST SALE,Single Family Residential,601 SW Arboretum Cir,Portland,OR,97221,889000,4,3.5,ARBORETUM HILLS,3002,8276,2005,242,296,73,Sold,http://www.redfin.com/OR/Portland/601-SW-Arboretum-Cir-97221/home/26575589,RMLS,20172719,45.518349,-122.72257379999999,POINT (-13661414.42425594 5703497.423903833),49,738,11,196,53,1623,301,93,7.78158311639001,10
PAST SALE,Townhouse,4644 SW Kelly Ave,Portland,OR,97239,625000,3,3.5,"Portland West, Raleigh Hills",1931,871,2006,844,324,399,Sold,http://www.redfin.com/OR/Portland/4644-S-Kelly-Ave-97239/home/25823559,RMLS,19313119,45.489528,-122.67450500000001,POINT (-13656063.42991689 5698919.707844894),57,829,11,237,58,1966,301,121,7.56311060388621,11
PAST SALE,Townhouse,4926 SW 1st Ave,Portland,OR,97239,350000,2,1.5,JOHN'S LANDING,1184,1306,2000,855,296,50,Sold,http://www.redfin.com/OR/Portland/4926-SW-1st-Ave-97239/home/26578196,RMLS,18086374,45.4883516,-122.67860060000001,POINT (-13656519.35002339 5698732.906872725),54,810,11,230,58,1932,300,118,7.553343328931447,12
MLS Listing,Single Family Residential,6351 SW Laber Rd,Portland,OR,97221,1475000,4,3.5,"Portland West, Raleigh Hills",4479,24829,2014,113,329,125,Active,http://www.redfin.com/OR/Portland/6351-SW-Laber-Rd-97221/home/45474318,RMLS,21211205,45.4962852,-122.7424172,POINT (-13663623.38143954 5699992.761598184),47,623,9,126,58,1499,275,98,7.550600926517436,13
MLS Listing,Single Family Residential,1129 NW Eloise Ln,Portland,OR,97229,1447000,5,4.5,NORTHWEST HEIGHTS,4840,43560,2007,98,299,333,Active,http://www.redfin.com/OR/Portland/1129-NW-Eloise-Ln-97229/home/25756514,RMLS,21089970,45.531504999999996,-122.75021670000001,POINT (-13664491.61780799 5705587.805784872),43,587,11,127,47,1252,279,98,7.3221542095905825,14
PAST SALE,Single Family Residential,3528 SW 64th Pl,Portland,OR,97221,1875000,4,4.5,Laurian Grove,5288,17424,2008,1730,355,83,Sold,http://www.redfin.com/OR/Portland/3528-SW-64th-Pl-97221/home/26612942,RMLS,16011222,45.49775,-122.742755,POINT (-13663660.98516353 5700225.391072368),47,622,9,126,58,1500,276,99,7.301034833006284,15
PAST SALE,Townhouse,2232 SE 76th Ave,Portland,OR,97215,440000,4,2.5,MT TABOR/MONTAVILLA,2208,2613,2006,855,199,100,Sold,http://www.redfin.com/OR/Portland/2232-SE-76th-Ave-97215/home/26445938,RMLS,18362577,45.506769399999996,-122.5851517,POINT (-13646116.66606019 5701657.923594835),67,639,3,207,74,1903,228,137,7.259104185411841,16
PAST SALE,Townhouse,5674 NE 15th Ave,Portland,OR,97211,709000,3,2.5,Portland Northeast,2484,4791,2018,527,285,264,Sold,http://www.redfin.com/OR/Portland/5674-NE-15th-Ave-97211/home/147860101,RMLS,20424634,45.563945000000004,-122.649752,POINT (-13653307.93856129 5710744.349450233),56,868,4,252,54,1633,257,95,6.825866669655511,17
PAST SALE,Single Family Residential,9085 SW Salmon St,Portland,OR,97225,775000,5,4.0,West Haven Park,3241,7405,2017,1011,239,45,Sold,http://www.redfin.com/OR/Portland/9085-SW-Salmon-St-97225/home/113691218,RMLS,18162385,45.515257399999996,-122.7705659,POINT (-13666756.88039003 5703006.264621408),38,368,9,60,46,1111,216,95,6.593624489202929,18
MLS Listing,Single Family Residential,376 NW 81st Pl,Portland,OR,97229,1399000,4,4.0,WEST HILLS,4118,30927,2003,75,340,42,Active,http://www.redfin.com/OR/Portland/376-NW-81st-Pl-97229/home/25808311,RMLS,21175095,45.5257319,-122.75998249999999,POINT (-13665578.74169117 5704670.4467439),36,516,10,97,45,1193,254,88,6.575050936244493,19
PAST SALE,Single Family Residential,9033 SW 72nd Ave,Portland,OR,97223,624000,6,4.0,"Portland West, Raleigh Hills",2922,5662,2017,487,214,25,Sold,http://www.redfin.com/OR/Portland/9033-SW-72nd-Ave-97223/home/130980421,RMLS,20280057,45.4546615,-122.7512245,POINT (-13664603.80559081 5693384.898729263),47,315,4,32,58,1261,242,87,6.490038426664693,20
PAST SALE,Townhouse,8841 SE 13th Ave,Portland,OR,97202,463600,4,3.0,SELLWOOD,1758,871,2007,1355,264,235,Sold,http://www.redfin.com/OR/Portland/8841-SE-13th-Ave-97202/home/25795977,RMLS,17261660,45.4587673,-122.65314740000002,POINT (-13653685.91276033 5694036.487479319),45,482,8,139,61,1704,255,111,6.46120105517692,21
PAST SALE,Single Family Residential,9074 SW Salmon St,Portland,OR,97225,885000,5,3.0,WEST HAVEN PARK,3196,7840,2018,1111,277,57,Sold,http://www.redfin.com/OR/Portland/9074-SW-Salmon-St-97225/home/144693016,RMLS,18131274,45.514552,-122.7706639,POINT (-13666767.78970013 5702894.202236496),38,366,9,58,46,1126,216,95,6.407309610227001,22
PAST SALE,Single Family Residential,690 SW Stephenson St,Portland,OR,97219,850000,6,4.0,"Portland West, Raleigh Hills",3290,9147,2017,1353,258,25,Sold,http://www.redfin.com/OR/Portland/690-SW-Stephenson-St-97219/home/65636266,RMLS,17472909,45.4396936,-122.68604690000001,POINT (-13657348.26834768 5691009.900851022),31,196,7,36,49,1309,211,86,6.313479236466253,23
